time_s,gaze_x,gaze_y,gaze_z,pupil_size_mm,head_x,head_y,head_z
0.0012,0.0,0.0,1.0,0.0,-0.081,1.6,-8.629
0.0138,0.0,0.0,1.0,0.0,-0.081,1.6,-8.629
0.0276,0.0,0.0,1.0,0.0,-0.081,1.6,-8.629
0.0411,0.0,0.0,1.0,0.0,-0.08,1.6,-8.629
0.0559,0.0,0.0,1.0,0.0,-0.079,1.6,-8.629
0.0703,0.0,0.0,1.0,0.0,-0.079,1.6,-8.629
0.0837,0.0,0.0,1.0,0.0,-0.078,1.6,-8.629
0.0967,0.0,0.0,1.0,0.0,-0.078,1.6,-8.629
0.111,0.0,0.0,1.0,0.0,-0.078,1.6,-8.629
0.1251,0.0,0.0,1.0,0.0,-0.077,1.6,-8.629
0.1399,0.0,0.0,1.0,0.0,-0.077,1.6,-8.629
0.1541,0.0,0.0,1.0,0.0,-0.077,1.6,-8.629
0.1662,0.0,0.0,1.0,0.0,-0.076,1.6,-8.63
0.1807,0.0,0.0,1.0,0.0,-0.077,1.6,-8.629
0.1942,0.0,0.0,1.0,0.0,-0.077,1.6,-8.629
0.2084,0.0,0.0,1.0,0.0,-0.077,1.6,-8.63
0.2226,0.0,0.0,1.0,0.0,-0.077,1.6,-8.63
0.236,0.0,0.0,1.0,0.0,-0.077,1.6,-8.63
0.2492,0.0,0.0,1.0,0.0,-0.076,1.6,-8.63
0.2638,0.0,0.0,1.0,0.0,-0.077,1.6,-8.63
0.2786,0.0,0.0,1.0,0.0,-0.076,1.6,-8.63
0.2918,0.0,0.0,1.0,0.0,-0.076,1.6,-8.631
0.3054,0.0,0.0,1.0,0.0,-0.076,1.6,-8.631
0.3216,0.0,0.0,1.0,0.0,-0.076,1.6,-8.631
0.3332,0.0,0.0,1.0,0.0,-0.075,1.6,-8.632
0.3476,0.0,0.0,1.0,0.0,-0.075,1.6,-8.632
0.3607,0.0,0.0,1.0,0.0,-0.075,1.6,-8.633
0.3749,0.0,0.0,1.0,0.0,-0.075,1.6,-8.633
0.3902,0.0,0.0,1.0,0.0,-0.075,1.6,-8.634
0.4034,0.0,0.0,1.0,0.0,-0.075,1.6,-8.634
0.416,0.0,0.0,1.0,0.0,-0.074,1.6,-8.634
0.4302,0.0,0.0,1.0,0.0,-0.074,1.6,-8.634
0.4442,0.0,0.0,1.0,0.0,-0.074,1.6,-8.635
0.4589,0.0,0.0,1.0,0.0,-0.074,1.6,-8.635
0.4717,0.0,0.0,1.0,0.0,-0.074,1.6,-8.634
0.4859,0.0,0.0,1.0,0.0,-0.074,1.6,-8.634
0.4992,0.0,0.0,1.0,0.0,-0.074,1.6,-8.634
0.5145,0.0,0.0,1.0,0.0,-0.074,1.6,-8.634
0.5277,0.0,0.0,1.0,0.0,-0.074,1.6,-8.634
0.5417,0.0,0.0,1.0,0.0,-0.073,1.6,-8.634
